,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url
199,2023:162,17,1a,ökad,,,Dataanalyser i folkbokföringssystem,2023-05-01,"Prop. 2022/23:41, bet. 2022/23:SkU8, rskr. 2022/23:156",['2022/23:41'],False,['http://data.riksdagen.se/fil/3EE33AF6-841A-43C2-9FA2-F08183B49436'],1734,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-03/SFS2023-162.pdf
200,2023:162,22,1a,ökad,,20,Personliga ek förh i folkbokföringssystem. absolut sekretess,2023-05-01,"Prop. 2022/23:41, bet. 2022/23:SkU8, rskr. 2022/23:156",['2022/23:41'],False,['http://data.riksdagen.se/fil/3EE33AF6-841A-43C2-9FA2-F08183B49436'],1734,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-03/SFS2023-162.pdf
201,2023:162,22,6,ökad,,,Slopad meddelarfrihet i 22:1a,2023-05-01,"Prop. 2022/23:41, bet. 2022/23:SkU8, rskr. 2022/23:156",['2022/23:41'],False,['http://data.riksdagen.se/fil/3EE33AF6-841A-43C2-9FA2-F08183B49436'],1734,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-03/SFS2023-162.pdf
202,2023:189,30,25,,,,läkemedelsförmåner i regioner,2023-07-01,"Prop. 2022/23:45, bet. 2022/23:SoU11, rskr. 2022/23:164",['2022/23:45'],False,['http://data.riksdagen.se/fil/587051EC-B45E-41F1-9AFF-B3DC3322F4AB'],1486,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-04/SFS2023-189.pdf
203,2023:217,,,,,,ikraftträdade av lag SFS 2016:728,9,,[],False,[],451,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-04/SFS2023-217.pdf
204,2023:284,18,11,ökad,,,"rättspsykiatrisk verksamhet, inom Rättsmedicinalverket",2023-07-01,"Prop. 2022/23:82, bet. 2022/23:JuU19, rskr. 2022/23:188",['2022/23:82'],False,['http://data.riksdagen.se/fil/A0774066-A7C0-46C1-9E19-085632BFC216'],1134,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-05/SFS2023-284.pdf
205,2023:298,9,2,,,,redaktionell ändring,9,"Prop. 2022/23:71, bet. 2022/23:JuU24, rskr. 2022/23:195",['2022/23:71'],False,['https://data.riksdagen.se/fil/C9608A01-2283-4B58-8799-2AB8745E702B'],1892,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-05/SFS2023-298.pdf
206,2023:299,9,2,,,,tidpunkt för ikraftträdande,9,,[],False,[],463,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-05/SFS2023-299.pdf
207,2023:321,35,23c,ökad,,,Polismyndighet kontra TCO-lagen,2023-07-01,"Prop. 2022/23:71, bet. 2022/23:JuU24, rskr. 2022/23:195",['2022/23:71'],False,['https://data.riksdagen.se/fil/C9608A01-2283-4B58-8799-2AB8745E702B'],1185,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-05/SFS2023-321.pdf
208,2023:335,10,2a,minskad,,,tekniskt utbyte,2023-07-01,"Prop. 2022/23:97, bet. 2022/23:KU35, rskr. 2022/23:204",['2022/23:97'],False,['https://data.riksdagen.se/fil/F2D65A43-9310-4499-B515-D71D1F4A5A48'],1873,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-335.pdf
